id,seenAt,src,mac,rssi,adv_hex,manufacturer_hex,lacisId,productType,productCode
170578,2025-12-15T03:02:33.792114Z,ble,7271434738F8,-73,,,30037271434738F80096,003,0096
170579,2025-12-15T03:02:33.927397Z,ble,D6A45FE4B760,-59,,"{76: b'\x12\x02\x00\x00'}",3003D6A45FE4B7600096,003,0096
170580,2025-12-15T03:02:34.142343Z,ble,D6A45FE4B760,-65,,"{76: b'\x12\x02\x00\x00'}",3003D6A45FE4B7600096,003,0096
170581,2025-12-15T03:02:34.335196Z,ble,5FCF0693D4ED,-86,,"{76: b'\x10\x07?\x1f\xb0\x16\x93y\x18'}",30035FCF0693D4ED0096,003,0096
170582,2025-12-15T03:02:34.809928Z,ble,E3108271FEC5,-38,"{'0000fcb2-0000-1000-8000-00805f9b34fb': b'\x01\x01j\x01'}","{76: b""\x07\x11\x06jXe\x19`\x82\xd1Fc\xa3\x19\xb2\xc3'6Y""}",3003E3108271FEC50096,003,0096
170583,2025-12-15T03:02:35.270066Z,ble,C7D0200AD652,-77,,"{76: b'\x12\x02\x00\x02'}",3003C7D0200AD6520096,003,0096
170584,2025-12-15T03:02:35.368621Z,ble,78A252BCC003,-70,,"{76: b'\x16\x08\x00\xa9\xb0n\xe40\x86|'}",300378A252BCC0030096,003,0096
170585,2025-12-15T03:02:35.373646Z,ble,EE1F7E72061E,-69,,"{76: b'\x12\x02\x00\x03'}",3003EE1F7E72061E0096,003,0096
170586,2025-12-15T03:02:35.940259Z,ble,5FCF0693D4ED,-87,,"{76: b'\x10\x07?\x1f\xb0\x16\x93y\x18'}",30035FCF0693D4ED0096,003,0096
170587,2025-12-15T03:02:35.940817Z,ble,EC2385626FEA,-77,,"{76: b'\x12\x02\x00\x01'}",3003EC2385626FEA0096,003,0096
170588,2025-12-15T03:02:35.964728Z,ble,D1A7331E5E52,-86,,"{76: b'\x12\x02\x00\x00'}",3003D1A7331E5E520096,003,0096
170589,2025-12-15T03:02:36.907739Z,ble,000000000000,-87,,,30030000000000000096,003,0096
170590,2025-12-15T03:02:36.908261Z,ble,7271434738F8,-65,,,30037271434738F80096,003,0096
170591,2025-12-15T03:02:37.310011Z,ble,E2AD03F062E0,-62,,"{76: b'\x12\x02\x00\x02'}",3003E2AD03F062E00096,003,0096
170592,2025-12-15T03:02:37.381052Z,ble,EE1F7E72061E,-66,,"{76: b'\x12\x02\x00\x03'}",3003EE1F7E72061E0096,003,0096
170593,2025-12-15T03:02:37.706193Z,ble,5DCDD744C63F,-85,,"{76: b'\x10\x070\x1f\x02\x96\xfa:8'}",30035DCDD744C63F0096,003,0096
170594,2025-12-15T03:02:38.121154Z,ble,EBC782DAB90F,-51,,"{76: b'\x12\x02\x00\x01'}",3003EBC782DAB90F0096,003,0096
170595,2025-12-15T03:02:38.139682Z,ble,7C355E6EB16D,-49,,"{76: b'\x16\x08\x00\xa7\xed\x17\x05\x94Z\xa8'}",30037C355E6EB16D0096,003,0096
170596,2025-12-15T03:02:38.813628Z,ble,E3108271FEC5,-38,"{'0000fcb2-0000-1000-8000-00805f9b34fb': b'\x01\x01j\x01'}","{76: b""\x07\x11\x06jXe\x19`\x82\xd1Fc\xa3\x19\xb2\xc3'6Y""}",3003E3108271FEC50096,003,0096
170597,2025-12-15T03:02:39.277498Z,ble,C7D0200AD652,-60,,"{76: b'\x12\x02\x00\x02'}",3003C7D0200AD6520096,003,0096
170598,2025-12-15T03:02:39.949931Z,ble,EC2385626FEA,-74,,"{76: b'\x12\x02\x00\x01'}",3003EC2385626FEA0096,003,0096
170599,2025-12-15T03:02:40.014896Z,ble,000000000000,-38,,,30030000000000000096,003,0096
170600,2025-12-15T03:02:40.015482Z,ble,7271434738F8,-77,,,30037271434738F80096,003,0096
170601,2025-12-15T03:02:40.020812Z,ble,710C3B076BBF,-65,,"{76: b'\x10\x05*\x183kz'}",3003710C3B076BBF0096,003,0096
170602,2025-12-15T03:02:40.152435Z,ble,D6A45FE4B760,-52,,"{76: b'\x12\x02\x00\x00'}",3003D6A45FE4B7600096,003,0096
170603,2025-12-15T03:02:40.464809Z,ble,754AD290FD5B,-58,,"{76: b'\x10\x06\x01\x1d#jN('}",3003754AD290FD5B0096,003,0096
170604,2025-12-15T03:02:40.500987Z,ble,3A85BC46900C,-65,,"{6: b'\x01\t ""Q\x15\xeb\x7f\xd5\x84V\xde\xc9\xadk:\x81\x8c\xe7;\xcaT\x9cWB\x18T'}",30033A85BC46900C0096,003,0096
170605,2025-12-15T03:02:40.509618Z,ble,FEE0BFF7B631,-61,,"{76: b'\x12\x02\x00\x00'}",3003FEE0BFF7B6310096,003,0096
170606,2025-12-15T03:02:40.527273Z,ble,4719BD6F081F,-52,,"{76: b'\x0c\x0e\x00\xc1J\x8c6\xd3\x12Id\x13\xb9""]\xfb\x10\x06v\x1d\xad\x16m('}",30034719BD6F081F0096,003,0096
